userid,condition,rating
0,1,5
0,4,5
0,6,5
0,8,5
0,11,4
0,12,3
0,13,4
0,13,3
0,14,3
0,15,3
0,16,4
0,18,3
0,21,4
0,23,1
0,26,1
0,29,5
0,30,4
0,30,4
0,31,3
0,32,5
0,32,5
0,34,3
0,37,3
0,38,4
0,41,4
0,42,2
0,43,3
0,44,3
0,45,2
0,47,4
0,48,3
0,48,2
0,49,3
0,57,2
0,58,2
0,59,1
0,61,1
0,63,2
0,64,2
0,66,1
1,2,3
1,9,2
1,9,2
1,12,1
1,15,1
1,16,5
1,16,3
1,18,2
1,19,4
1,22,1
1,23,3
1,24,4
1,25,3
1,27,3
1,30,3
1,30,4
1,31,3
1,33,2
1,34,2
1,34,3
1,38,4
1,39,2
1,43,5
1,43,2
1,44,3
1,44,4
1,49,4
1,52,2
1,53,3
1,53,3
1,56,3
1,60,1
1,60,1
1,66,2
1,66,1
1,68,3
1,69,2
1,71,2
1,72,1
1,72,1
2,1,5
2,18,3
2,21,4
2,44,5
2,54,3
2,57,3
2,65,3
2,66,2
2,67,3
2,67,3
3,1,5
3,2,5
3,3,4
3,5,4
3,11,4
3,13,5
3,13,4
3,17,4
3,20,5
3,23,2
3,26,1
3,28,2
3,30,5
3,35,5
3,38,2
3,42,4
3,44,5
3,47,5
3,51,1
3,69,1
4,1,5
4,4,5
4,5,3
4,7,4
4,8,5
4,11,3
4,12,2
4,13,3
4,13,2
4,14,2
4,15,2
4,17,3
4,21,5
4,21,5
4,21,5
4,22,1
4,22,1
4,23,2
4,24,4
4,24,4
4,24,3
4,26,1
4,29,5
4,31,4
4,32,5
4,33,3
4,35,5
4,37,3
4,40,3
4,40,4
4,41,5
4,41,5
4,42,3
4,46,3
4,48,3
4,48,3
4,49,3
4,49,3
4,49,4
4,49,3
4,55,4
4,58,2
4,63,2
4,64,2
4,64,2
4,66,2
4,70,2
4,70,2
4,71,1
4,72,2
5,2,4
5,18,4
5,21,4
5,36,5
5,39,4
5,48,4
5,60,3
5,61,3
5,63,4
5,69,4
6,1,4
6,2,5
6,2,4
6,5,4
6,12,3
6,14,3
6,15,3
6,16,3
6,17,4
6,18,4
6,22,2
6,25,5
6,26,3
6,28,3
6,29,4
6,30,4
6,31,4
6,33,3
6,38,3
6,39,3
6,41,4
6,44,4
6,45,3
6,46,4
6,47,4
6,47,5
6,48,3
6,49,3
6,49,3
6,50,3
6,55,3
6,56,3
6,62,3
6,63,3
6,64,3
6,65,3
6,68,3
6,69,2
6,69,3
6,72,3
7,1,5
7,3,4
7,4,4
7,4,4
7,5,4
7,6,4
7,7,4
7,8,5
7,8,5
7,9,4
7,11,4
7,12,4
7,12,4
7,14,4
7,15,3
7,16,4
7,16,4
7,17,4
7,21,4
7,21,4
7,22,2
7,23,5
7,23,4
7,23,3
7,24,5
7,25,4
7,26,2
7,27,4
7,28,4
7,29,4
7,31,4
7,33,2
7,35,4
7,37,4
7,37,5
7,38,4
7,38,4
7,38,4
7,40,4
7,40,4
7,41,4
7,41,3
7,42,4
7,43,4
7,44,4
7,45,4
7,46,4
7,46,4
7,46,3
7,47,4
7,50,4
7,51,3
7,51,3
7,53,4
7,54,4
7,57,4
7,57,2
7,59,4
7,59,4
7,60,4
7,60,3
7,61,2
7,62,4
7,63,4
7,64,4
7,65,3
7,66,3
7,66,2
7,68,2
7,71,3
8,4,5
8,5,4
8,6,5
8,8,4
8,8,4
8,11,3
8,13,3
8,14,3
8,17,4
8,19,5
8,26,2
8,31,4
8,32,5
8,37,4
8,38,4
8,38,4
8,43,4
8,45,3
8,48,3
8,49,3
8,50,4
8,52,3
8,52,4
8,52,4
8,52,3
8,54,3
8,54,3
8,54,4
8,55,3
8,56,4
8,57,3
8,57,4
8,60,3
8,63,2
8,66,3
8,68,2
8,70,3
8,70,4
8,71,2
8,72,3
9,1,5
9,1,5
9,1,5
9,2,5
9,4,5
9,4,5
9,5,4
9,6,4
9,7,5
9,7,5
9,9,5
9,9,4
9,9,5
9,10,5
9,11,5
9,13,5
9,15,5
9,16,5
9,16,5
9,16,5
9,16,5
9,17,5
9,17,5
9,17,3
9,18,5
9,18,5
9,19,5
9,21,5
9,23,2
9,24,5
9,24,2
9,24,5
9,25,5
9,25,5
9,26,1
9,26,2
9,29,5
9,29,5
9,30,5
9,30,5
9,30,5
9,30,4
9,32,5
9,33,4
9,34,5
9,34,4
9,35,5
9,36,4
9,37,4
9,37,3
9,37,4
9,38,4
9,40,3
9,42,4
9,42,2
9,42,4
9,43,3
9,43,2
9,44,4
9,45,3
9,48,3
9,48,3
9,50,5
9,51,3
9,51,2
