userid,condition,rating
9,51,3
9,52,4
9,53,4
9,53,5
9,55,4
9,55,2
9,56,5
9,57,3
9,58,3
9,58,3
9,58,5
9,59,5
9,61,4
9,61,3
9,62,4
9,63,1
9,63,1
9,67,3
9,67,2
9,68,2
9,68,1
9,68,1
9,70,4
9,71,1
9,72,1
10,11,4
10,21,5
10,36,5
10,43,4
10,47,5
10,51,4
10,53,3
10,68,2
10,70,3
10,71,1
11,16,5
11,32,4
11,40,4
11,45,3
11,57,2
11,62,3
11,64,3
11,65,3
11,66,2
11,67,3
12,1,5
12,2,4
12,3,3
12,4,5
12,6,5
12,7,5
12,8,5
12,9,4
12,9,5
12,9,3
12,11,3
12,12,3
12,17,3
12,19,5
12,20,5
12,22,2
12,22,1
12,25,5
12,25,3
12,26,1
12,27,2
12,27,2
12,28,4
12,28,3
12,29,5
12,31,4
12,32,3
12,33,3
12,34,4
12,35,5
12,35,4
12,36,3
12,37,4
12,40,4
12,46,4
12,47,4
12,48,2
12,49,3
12,51,3
12,51,3
12,51,2
12,53,3
12,55,1
12,56,4
12,58,3
12,59,3
12,59,4
12,62,1
12,63,3
12,64,2
12,64,2
12,65,1
12,65,1
12,66,3
12,69,2
12,69,1
12,69,1
12,70,3
12,70,1
12,71,1
13,3,5
13,4,5
13,5,5
13,9,5
13,12,5
13,14,5
13,14,5
13,16,5
13,17,5
13,18,5
13,21,5
13,21,5
13,22,2
13,24,5
13,26,2
13,26,2
13,27,2
13,29,5
13,32,5
13,38,5
13,38,3
13,39,5
13,40,5
13,45,3
13,46,5
13,47,5
13,47,4
13,51,4
13,51,2
13,55,3
13,57,4
13,58,3
13,60,2
13,64,5
13,66,3
13,68,2
13,68,2
13,70,4
13,70,2
13,71,3
14,11,3
14,29,5
14,30,4
14,44,3
14,44,3
14,45,3
14,52,3
14,63,2
14,65,1
14,71,1
15,1,5
15,2,5
15,5,5
15,7,5
15,11,3
15,11,3
15,12,4
15,13,4
15,14,3
15,15,3
15,15,4
15,15,3
15,18,3
15,22,1
15,22,2
15,24,4
15,24,4
15,26,1
15,26,2
15,29,4
15,31,2
15,32,5
15,32,5
15,33,5
15,33,4
15,34,5
15,34,5
15,34,3
15,35,5
15,36,4
15,36,4
15,42,3
15,44,5
15,44,5
15,44,2
15,46,2
15,46,3
15,48,2
15,50,5
15,52,2
15,52,3
15,53,4
15,54,2
15,55,3
15,55,3
15,56,2
15,56,4
15,60,2
15,61,3
15,61,3
15,62,2
15,63,2
15,63,2
15,65,2
15,66,2
15,67,2
15,67,2
15,71,1
15,72,2
15,72,3
16,6,4
16,26,1
16,32,4
16,34,4
16,37,4
16,38,4
16,39,5
16,41,3
16,41,3
16,47,5
16,51,4
16,57,3
16,59,4
16,63,1
16,64,3
16,65,2
16,68,3
16,68,3
16,68,1
16,72,1
17,14,4
17,17,4
17,22,1
17,34,4
17,39,3
17,44,3
17,44,4
17,46,2
17,49,4
17,52,2
18,2,5
18,3,3
18,5,4
18,19,4
18,21,3
18,44,3
18,62,2
18,67,2
18,67,1
18,71,1
19,1,3
19,4,5
19,6,5
19,7,5
19,8,5
19,9,5
19,9,5
19,10,5
19,11,3
19,12,3
19,12,4
19,12,3
19,15,3
19,19,4
19,20,5
19,20,4
19,21,5
19,21,5
19,22,1
19,24,5
19,24,5
19,27,2
19,28,5
19,29,5
19,30,4
19,32,5
19,33,4
19,33,2
19,35,5
19,35,5
19,40,5
19,43,3
19,43,4
19,43,2
19,43,2
19,46,4
19,47,4
19,49,4
19,49,5
19,49,4
19,49,4
19,50,5
19,50,3
19,52,3
19,53,5
19,53,3
19,53,4
19,55,2
19,59,4
19,60,4
19,62,2
19,62,2
19,62,2
19,64,2
19,64,3
19,64,2
19,65,2
19,65,1
19,66,2
19,66,3
19,66,1
19,67,2
19,67,2
19,69,1
19,70,3
19,70,3
19,71,1
19,71,1
19,72,1
19,72,1
20,1,5
20,2,4
20,3,4
20,5,3
20,6,5
20,6,4
20,6,4
20,7,4
20,7,4
20,7,4
20,8,4
20,9,3
20,9,4
20,10,4
20,10,3
20,10,4
20,11,4
20,11,4
20,12,3
20,12,3
20,14,3
20,14,4
20,17,3
20,18,3
20,18,3
20,19,5
20,20,4
20,21,5
20,22,1
20,27,3
20,28,3
20,29,4
20,33,4
20,33,3
20,33,3
20,34,3
20,35,3
20,36,2
20,37,3
20,37,3
20,39,2
20,39,2
20,44,5
20,44,4
20,46,3
20,46,2
20,47,4
20,48,3
20,48,2
20,49,3
20,49,3
20,49,2
20,49,2
20,51,2
20,52,2
20,53,5
20,55,2
20,57,2
20,58,2
20,59,3
20,61,2
20,62,2
20,66,1
20,66,1
20,68,1
20,68,1
20,69,1
20,69,1
20,70,2
20,72,1
21,1,5
21,1,4
21,2,4
21,2,3
21,3,3
21,4,5
21,4,4
21,5,2
21,5,2
21,5,3
21,6,4
21,7,4
21,7,3
21,10,4
21,10,3
21,10,3
21,10,2
21,11,2
21,11,3
21,12,2
21,12,3
21,13,3
21,14,3
21,14,3
21,15,2
21,15,3
21,15,3
21,15,3
21,18,1
21,20,5
21,20,5
21,20,3
21,21,3
21,22,1
21,22,1
21,23,1
21,24,5
21,24,2
21,25,5
21,26,1
21,26,1
21,26,1
21,27,2
21,27,1
21,28,4
21,28,2
21,29,3
21,30,5
21,31,3
21,31,3
21,32,4
21,34,4
21,34,2
21,36,2
21,36,3
21,36,3
21,36,2
21,37,2
21,39,2
21,39,2
21,40,3
21,42,2
21,43,2
21,43,2
21,44,3
21,44,4
21,45,3
21,45,2
21,47,3
21,48,2
21,50,5
21,50,3
21,51,3
21,53,3
21,54,3
21,54,3
21,54,4
21,56,3
21,57,2
21,58,2
21,59,2
21,61,2
21,61,1
21,61,1
21,62,1
21,62,2
21,63,1
21,64,2
21,64,1
21,64,3
21,67,1
21,68,1
21,68,1
21,68,1
21,68,1
21,69,2
21,69,2
21,69,1
21,72,1
21,72,1
22,2,5
22,3,5
22,3,3
22,4,5
22,5,3
22,5,4
22,6,5
22,7,5
22,8,5
22,10,4
22,10,5
22,11,4
22,11,4
22,11,4
22,12,4
22,12,4
22,13,4
22,14,4
22,15,3
22,16,5
22,17,4
22,17,4
22,18,4
22,18,3
22,19,5
22,19,5
22,20,5
22,20,5
22,20,4
22,21,5
22,22,1
22,22,2
22,22,1
22,23,3
22,23,2
22,23,2
22,24,4
22,24,4
22,24,3
22,25,4
22,26,1
22,26,1
22,26,2
22,27,2
22,27,2
22,28,2
22,30,4
22,30,5
22,31,4
22,32,5
22,32,5
22,33,3
22,34,4
22,34,4
22,35,5
22,38,4
22,40,5
22,41,5
22,41,4
22,42,3
22,43,3
22,44,4
22,45,4
22,46,4
22,46,3
22,46,2
22,46,3
22,47,5
22,47,4
22,49,4
22,50,4
22,51,3
22,52,3
22,52,3
22,53,4
22,53,3
22,54,3
22,56,2
22,56,4
22,57,4
22,57,3
22,58,3
22,58,3
22,59,3
22,59,4
22,60,3
22,60,3
22,61,4
22,62,3
22,62,3
22,62,1
22,63,2
22,63,2
22,64,3
22,64,3
22,65,3
22,66,2
22,67,3
22,69,2
22,72,3
23,1,5
23,2,5
23,7,5
23,10,5
23,23,4
23,23,3
23,24,5
23,26,2
23,32,5
23,33,3
23,34,4
23,36,2
23,37,3
23,41,5
23,54,1
23,59,5
23,60,2
23,62,1
23,62,1
23,62,1
24,1,5
24,3,4
24,9,5
24,9,3
24,10,5
24,15,3
24,22,2
24,24,5
24,27,4
24,27,3
24,32,4
24,40,4
24,41,5
24,43,4
24,43,3
24,46,3
24,54,3
24,68,3
24,71,2
24,71,1
25,1,5
25,4,5
25,4,5
25,6,5
25,7,5
25,8,5
25,8,5
25,10,5
25,11,5
25,13,5
25,14,5
25,15,5
25,15,5
25,21,5
25,22,2
25,23,5
25,24,5
25,31,5
25,31,4
25,33,5
25,34,5
25,34,5
25,35,4
25,35,4
25,35,5
25,35,5
25,36,5
25,40,5
25,40,5
25,45,5
25,46,5
25,46,5
25,47,4
25,48,5
25,48,4
25,49,5
25,51,4
25,51,5
25,51,4
25,52,5
25,54,5
25,55,5
25,56,5
25,57,5
25,57,3
25,58,5
25,59,5
25,59,4
25,60,5
25,61,5
25,61,5
25,61,3
25,61,4
25,65,2
25,65,4
25,65,4
25,66,5
25,68,4
25,69,3
25,69,4
26,2,5
26,6,5
26,10,5
26,38,2
26,43,3
26,49,4
26,50,4
26,62,1
26,64,2
26,71,3
27,1,5
27,1,4
27,1,5
27,3,2
27,5,4
27,6,4
27,6,5
27,6,5
27,6,4
27,7,5
27,8,5
27,9,5
27,9,5
27,11,3
27,12,4
27,14,4
27,15,4
27,15,3
27,15,4
27,16,5
27,16,5
27,17,3
27,18,2
27,19,5
27,19,5
27,20,5
27,22,1
27,22,1
27,22,2
27,22,1
27,23,3
27,23,3
27,24,4
27,25,5
27,26,2
27,26,2
27,26,2
27,27,3
27,29,5
27,29,4
27,29,5
27,30,4
27,34,4
27,35,5
27,35,4
27,36,3
27,38,5
27,38,3
27,38,3
27,38,3
27,38,3
27,39,4
27,40,4
27,41,5
27,41,4
27,42,3
27,42,3
27,43,3
27,44,3
27,44,3
27,44,2
27,45,3
27,45,1
27,47,3
27,47,4
27,49,4
27,49,3
27,50,4
27,50,4
27,51,2
27,51,2
27,55,3
27,56,3
27,56,4
27,57,3
27,57,2
27,58,3
27,58,3
27,59,2
27,59,3
27,62,3
27,62,2
27,62,3
27,65,3
27,65,1
27,65,3
27,66,1
27,68,2
27,68,1
27,72,2
28,1,5
28,3,5
28,6,5
28,9,5
28,10,5
28,12,5
28,16,5
28,17,5
28,17,5
28,29,5
28,32,5
28,38,4
28,38,4
28,40,4
28,41,5
28,42,4
28,44,5
28,48,5
28,58,3
28,59,3
28,59,3
28,60,3
28,62,2
28,64,4
28,65,2
28,65,2
28,67,4
28,70,3
28,70,3
28,71,3
29,1,5
29,2,5
29,2,4
29,3,3
29,3,4
29,4,5
29,6,5
29,6,5
29,6,5
29,6,4
29,7,5
29,7,5
29,7,5
29,8,5
29,8,5
29,9,5
29,11,4
29,11,4
29,12,4
29,13,4
29,14,4
29,14,4
29,14,4
29,16,5
29,16,5
29,18,4
29,18,2
29,19,4
29,21,5
29,21,4
29,21,4
29,22,1
29,22,1
29,24,2
29,25,5
29,25,4
29,25,4
29,25,5
29,26,1
29,26,1
29,26,1
29,27,1
29,28,4
29,28,4
29,30,4
29,31,5
29,31,4
29,31,5
29,31,3
29,32,4
29,32,5
29,32,4
29,34,5
29,36,3
29,36,3
29,36,3
29,37,4
29,37,3
29,37,3
29,38,2
29,38,2
29,40,3
29,40,4
29,41,3
29,43,2
29,44,2
29,45,2
29,46,5
29,46,3
29,47,3
29,47,3
29,49,3
29,51,3
29,51,2
29,52,2
29,53,3
29,53,5
29,54,3
29,55,2
29,56,4
29,57,3
29,57,2
29,57,2
29,58,3
29,59,2
29,61,4
29,62,1
29,62,1
29,63,3
29,64,3
29,65,1
29,66,2
29,66,2
29,66,1
29,67,2
29,67,2
29,68,1
29,69,2
29,69,2
29,71,1
30,9,4
30,10,5
30,12,2
30,13,3
30,15,2
30,17,3
30,25,5
30,29,5
30,30,4
30,30,4
30,31,3
30,35,5
30,37,3
30,41,3
30,43,3
30,44,5
30,47,4
30,47,3
30,48,2
30,50,4
30,54,2
30,57,3
30,58,3
30,61,3
30,62,3
30,63,1
30,64,2
30,67,2
30,68,2
30,70,2
31,4,5
31,5,4
31,12,3
31,13,4
31,13,3
31,17,3
31,18,2
31,19,5
31,21,4
31,26,2
31,30,4
31,32,5
31,38,5
31,40,4
31,44,4
31,49,4
31,50,3
31,51,2
31,52,3
31,54,4
31,55,4
31,56,3
31,56,3
31,59,4
31,61,3
31,61,4
31,67,4
31,67,3
31,70,3
31,71,1
32,2,4
32,2,3
32,3,3
32,5,2
32,6,4
32,7,5
32,7,4
32,7,3
32,7,5
32,8,5
32,9,4
32,10,4
32,11,3
32,11,3
32,12,3
32,12,2
32,13,3
32,13,2
32,13,2
32,14,3
32,15,2
32,15,2
32,15,2
32,16,4
32,17,3
32,17,3
32,17,3
32,18,2
32,19,5
32,20,5
32,20,4
32,21,3
32,22,1
32,25,4
32,25,5
32,27,1
32,27,2
32,29,4
32,30,4
32,30,3
32,33,2
32,34,3
32,35,4
32,36,2
32,36,3
32,36,2
32,37,3
32,37,3
32,37,3
32,37,3
32,39,2
32,39,1
32,40,3
32,42,3
32,42,3
32,43,3
32,43,3
32,44,4
32,44,2
32,46,4
32,47,4
32,47,3
32,47,2
32,47,4
32,48,2
32,48,2
32,49,3
32,50,3
32,52,2
32,52,3
32,53,4
32,57,2
32,57,2
32,57,1
32,57,1
32,58,3
32,58,2
32,58,2
32,60,1
32,62,2
32,62,1
32,63,2
32,66,1
32,68,1
32,68,1
32,70,2
32,71,1
32,71,2
32,71,1
32,71,1
33,2,5
33,2,5
33,2,3
33,3,4
33,3,4
33,4,5
33,5,3
33,7,3
33,7,5
33,7,5
33,9,4
33,10,4
33,11,3
33,11,3
33,12,4
33,12,3
33,12,3
33,12,4
33,13,3
33,14,2
33,17,3
33,18,4
33,20,5
33,21,5
33,21,5
33,21,4
33,22,2
33,22,1
33,22,2
33,23,3
33,24,3
33,25,5
33,25,5
33,26,1
33,27,5
33,28,5
33,28,4
33,28,4
33,29,4
33,29,4
33,29,3
33,30,5
33,30,5
33,30,4
33,32,4
33,33,4
33,34,4
33,35,5
33,35,5
33,36,3
33,37,3
33,37,4
33,37,3
33,38,4
33,38,3
33,41,3
33,42,4
33,43,3
33,45,4
33,46,3
33,46,3
33,48,4
33,49,2
33,50,4
33,51,2
33,53,5
33,56,3
33,56,3
33,56,3
33,56,3
33,57,3
33,57,3
33,58,3
33,59,4
33,61,4
33,61,3
33,61,2
33,63,3
33,63,2
33,64,3
33,67,2
33,68,1
33,68,1
33,69,2
33,69,2
33,70,2
33,70,3
33,71,2
33,72,2
33,72,2
34,1,4
34,1,4
34,2,4
34,2,4
34,2,4
34,4,4
34,4,4
34,5,3
34,6,5
34,6,4
34,6,4
34,7,5
34,8,5
34,8,5
34,9,4
34,9,4
34,9,5
34,9,5
34,10,5
34,10,5
34,10,4
34,11,4
34,12,3
34,13,3
34,14,3
34,14,3
34,15,3
34,16,4
34,16,4
34,17,3
34,17,3
34,18,3
34,20,4
34,21,4
34,21,4
34,23,2
34,23,2
34,23,2
34,26,2
34,27,3
34,28,4
34,28,4
34,28,3
34,29,4
34,30,3
34,31,4
34,31,3
34,31,4
34,32,4
34,32,4
34,33,3
34,34,4
34,34,4
34,34,3
34,37,3
34,37,3
34,37,3
34,38,4
34,39,3
34,40,4
34,42,2
34,42,3
34,45,3
34,46,3
34,48,3
34,49,3
34,50,4
34,50,3
34,50,4
34,52,3
34,53,3
34,53,4
34,55,3
34,55,3
34,57,3
34,58,3
34,58,2
34,60,3
34,61,3
34,64,3
34,65,1
34,66,2
34,67,2
34,69,2
34,69,1
34,69,2
34,70,2
34,71,2
34,72,2
34,72,2
35,4,5
35,8,5
35,20,5
35,22,1
35,44,3
35,45,3
35,50,4
35,53,5
35,65,1
35,70,2
36,2,5
36,3,5
36,3,5
36,4,5
36,5,5
36,14,5
36,25,5
36,27,3
36,31,5
36,31,5
36,39,4
36,41,5
36,43,5
36,47,4
36,50,4
36,52,4
36,60,4
36,63,4
36,68,3
36,70,4
37,1,5
37,1,5
37,1,5
37,2,5
37,2,5
37,4,5
37,5,4
37,5,4
37,6,5
37,6,5
37,6,5
37,7,5
37,7,5
37,8,5
37,9,5
37,10,5
37,10,5
37,10,5
37,11,4
37,11,4
37,11,4
37,12,5
37,12,4
37,13,4
37,13,5
37,14,4
37,14,4
37,15,4
37,16,5
37,16,5
37,16,4
37,16,4
37,17,4
37,17,5
37,19,5
37,19,4
37,19,5
37,20,4
37,20,5
37,21,4
37,22,2
37,23,3
37,23,3
37,23,3
37,25,5
37,25,5
37,26,1
37,27,3
37,27,3
37,27,3
37,27,2
37,28,4
37,29,5
37,30,5
37,30,5
37,31,5
37,31,4
37,31,5
37,31,5
37,33,3
37,34,5
37,34,5
37,34,5
37,36,3
37,38,3
37,38,3
37,39,3
37,42,3
37,43,4
37,44,2
37,50,4
37,50,4
37,50,4
37,51,3
37,51,4
37,51,3
37,51,2
37,52,4
37,53,4
37,54,3
37,54,4
37,55,3
37,55,4
37,58,3
37,61,3
37,62,1
37,62,2
37,64,4
37,65,1
37,65,2
37,65,2
37,66,1
37,66,1
37,66,1
37,67,3
37,67,3
37,68,1
37,68,1
37,69,1
37,72,1
38,1,5
38,1,5
38,1,5
38,2,4
38,2,5
38,2,5
38,4,5
38,5,4
38,6,5
38,7,5
38,11,3
38,11,3
38,11,4
38,12,4
38,12,4
38,14,4
38,17,5
38,17,4
38,17,4
38,18,3
38,19,5
38,19,4
38,21,4
38,22,2
38,22,1
38,22,1
38,23,2
38,24,3
38,25,4
38,26,1
38,27,2
38,28,4
38,28,3
38,29,5
38,29,5
38,31,4
38,33,4
38,35,5
38,35,5
38,36,3
38,36,4
38,38,4
38,39,2
38,44,4
38,44,4
38,44,3
38,45,4
38,46,3
38,46,4
38,48,4
38,49,3
38,51,2
38,52,3
38,53,4
38,55,2
38,55,3
38,55,3
38,55,2
38,58,3
38,59,4
38,64,2
38,64,2
38,65,2
38,66,2
38,67,2
38,67,2
38,67,1
38,69,2
38,70,2
38,72,1
39,5,4
39,13,3
39,14,3
39,36,2
39,50,4
39,54,1
39,55,3
39,55,4
39,60,1
39,62,2
40,1,5
40,1,5
40,1,4
40,5,4
40,6,5
40,10,4
40,10,5
40,10,4
40,12,5
40,12,3
40,13,3
40,15,4
40,15,3
40,17,4
40,18,3
40,21,5
40,21,4
40,24,4
40,24,3
40,25,5
40,26,2
40,26,1
40,26,2
40,28,4
40,28,5
40,29,5
40,31,4
40,31,3
40,32,5
40,32,3
40,32,5
40,34,4
40,36,3
40,37,5
40,37,4
40,40,4
40,42,3
40,42,4
40,43,5
40,43,5
40,43,5
40,44,5
40,44,4
40,46,3
40,46,4
40,48,4
40,50,4
40,51,2
40,51,3
40,51,2
40,53,4
40,53,3
40,53,4
40,54,3
40,54,3
40,55,4
40,57,5
40,59,2
40,60,3
40,62,2
40,63,3
40,65,1
40,65,1
40,66,2
40,66,2
40,69,2
40,70,4
40,70,2
40,71,1
40,72,3
41,1,5
41,2,4
41,2,4
41,3,3
41,3,3
41,6,5
41,7,5
41,8,5
41,8,5
41,8,5
41,9,4
41,10,5
41,11,4
41,12,4
41,13,3
41,14,3
41,15,3
41,16,4
41,17,3
41,17,3
41,17,4
41,19,5
41,20,5
41,20,5
41,22,2
41,24,5
41,24,5
41,25,5
41,25,5
41,26,2
41,26,2
41,26,2
41,27,2
41,27,3
41,28,5
41,31,4
41,32,5
41,32,5
41,33,4
41,33,3
41,35,4
41,35,5
41,35,4
41,35,5
41,35,5
41,36,3
41,36,2
41,37,4
41,37,3
41,38,2
41,38,3
41,38,4
41,39,3
41,39,2
41,39,2
41,40,3
41,41,4
41,42,2
41,43,5
41,47,4
41,50,4
41,51,2
41,52,4
41,52,4
41,54,4
41,54,2
41,55,2
41,55,4
41,55,4
41,56,4
41,57,2
41,58,2
41,59,5
41,59,4
41,60,2
41,61,3
41,62,2
41,62,1
41,65,1
41,65,1
41,66,1
41,66,1
41,67,3
41,67,2
41,67,2
41,70,2
41,70,2
41,71,1
41,71,2
41,71,1
42,2,5
42,4,5
42,12,4
42,13,4
42,18,4
42,19,4
42,23,2
42,25,5
42,25,5
42,27,2
42,31,4
42,33,3
42,35,5
42,38,4
42,43,4
42,46,4
42,53,5
42,53,3
42,55,4
42,63,4
43,2,5
43,3,4
43,6,5
43,7,5
43,8,4
43,9,5
43,10,5
43,12,4
43,16,5
43,20,4
43,25,5
43,28,5
43,29,5
43,30,5
43,30,5
43,31,4
43,36,4
43,36,3
43,37,4
43,44,3
43,46,4
43,47,3
43,48,4
43,48,2
43,48,4
43,49,4
43,50,4
43,51,3
43,51,3
43,51,1
43,52,4
43,52,3
43,52,3
43,53,5
43,55,4
43,61,3
43,61,2
43,64,3
43,66,2
43,69,3
44,1,5
44,1,4
44,3,4
44,3,4
44,3,3
44,4,4
44,5,3
44,7,5
44,7,5
44,8,5
44,11,3
44,12,3
44,18,4
44,19,5
44,20,5
44,20,3
44,20,4
44,21,3
44,24,2
44,25,5
44,25,4
44,28,2
44,29,4
44,30,4
44,30,4
44,33,3
44,33,2
44,34,4
44,35,4
44,38,5
44,39,3
44,39,3
44,39,2
44,42,3
44,44,4
44,44,5
44,45,2
44,47,4
44,47,4
44,49,3
44,51,2
44,52,2
44,55,2
44,59,3
44,64,3
44,64,1
44,66,2
44,68,2
44,71,1
44,72,1
45,1,5
45,2,5
45,2,5
45,3,5
45,4,3
45,5,5
45,5,5
45,5,4
45,7,3
45,11,5
45,12,4
45,13,5
45,14,5
45,14,5
45,15,5
45,16,5
45,17,5
45,18,5
45,19,5
45,19,4
45,19,5
45,20,5
45,20,5
45,21,4
45,22,1
45,22,1
45,22,3
45,23,3
45,24,4
45,24,4
45,27,3
45,32,5
45,33,4
45,34,3
45,35,5
45,38,5
45,38,5
45,38,4
45,39,2
45,39,5
45,39,4
45,40,3
45,40,4
45,40,5
45,40,5
45,41,5
45,41,4
45,42,5
45,42,5
45,42,3
45,43,4
45,44,5
45,44,5
45,45,4
45,45,3
45,46,2
45,48,4
45,48,4
45,49,2
45,49,4
45,49,4
45,50,4
45,51,4
45,52,3
45,53,5
45,54,4
45,55,4
45,55,1
45,58,4
45,60,3
45,61,4
45,63,4
45,63,3
45,63,4
45,66,1
45,66,2
45,67,3
45,68,1
45,70,4
45,72,1
46,1,3
46,1,3
46,5,3
46,9,1
46,10,4
46,13,2
46,15,2
46,19,4
46,22,1
46,23,2
46,25,4
46,27,3
46,27,2
46,27,2
46,28,4
46,31,3
46,34,3
46,36,2
46,37,3
46,43,3
46,43,2
46,44,3
46,46,2
46,52,2
46,56,4
46,62,1
46,63,3
46,64,2
46,69,2
46,72,1
47,21,5
47,30,4
47,37,4
47,51,3
47,53,5
47,53,4
47,54,3
47,64,2
47,65,1
47,68,1
48,1,5
48,2,4
48,2,4
48,4,5
48,6,5
48,7,5
48,7,5
48,7,5
48,11,3
48,12,4
48,12,3
48,13,3
48,13,3
48,14,3
48,14,3
48,15,3
48,16,4
48,17,3
48,17,3
48,17,3
48,18,3
48,18,2
48,19,5
48,21,4
48,21,4
48,21,4
48,22,2
48,23,5
48,24,5
48,24,5
48,25,5
48,25,5
48,25,5
48,26,2
48,26,2
48,27,4
48,27,4
48,29,5
48,31,4
48,34,3
48,36,4
48,37,3
48,37,3
48,38,4
48,38,4
48,40,3
48,41,4
48,42,3
48,42,2
48,44,4
48,45,4
48,45,3
48,45,3
48,46,3
48,46,3
48,46,4
48,48,3
48,48,4
48,49,2
48,49,4
48,49,3
48,51,3
48,51,3
48,52,4
48,52,4
48,53,5
48,54,3
48,54,3
48,54,3
48,55,3
48,56,4
48,56,5
48,57,2
48,57,2
48,58,4
48,58,3
48,58,4
48,59,5
48,59,5
48,62,3
48,62,1
48,62,3
48,64,2
48,65,4
48,66,1
48,66,3
48,68,4
48,71,3
48,71,2
48,72,3
